satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,left
1.0816766455705826,1.2946814681604086,0.11380938572285176,0.6770454436798521,1.4769973601525006,-0.3888008986421099,-0.10052917088631763,0,1
-0.7879093703861523,-1.1392030336037469,-1.342222371461024,-1.1111965638276504,-0.3837354099403615,-0.3888008986421099,-0.10052917088631763,0,1
0.43304476248355206,1.0116716423738792,1.5698411429067274,0.4107115276680964,0.5466309751060695,-0.3888008986421099,9.94736145920113,1,0
-1.7799346033427872,1.4644873636323266,1.5698411429067274,0.9053316574042141,0.5466309751060695,-0.3888008986421099,-0.10052917088631763,0,1
0.3948899458313742,-0.12036766077224019,0.11380938572285176,-0.33121866693608026,0.5466309751060695,-0.3888008986421099,-0.10052917088631763,0,0
-1.8180894199949655,0.7852637817446552,1.5698411429067274,1.5331187451462096,0.5466309751060695,-0.3888008986421099,-0.10052917088631763,1,1
-1.8180894199949655,1.1814775378457971,1.5698411429067274,1.2858086802781508,0.5466309751060695,-0.3888008986421099,-0.10052917088631763,1,1
1.539534445396722,0.8418657469019611,0.11380938572285176,-0.9590057546780758,-1.3141017949867926,-0.3888008986421099,-0.10052917088631763,2,0
1.0435218289184045,0.7286618165873492,0.11380938572285176,0.8482601039731236,2.4073637451989316,-0.3888008986421099,-0.10052917088631763,1,1
0.2804254958748393,0.7852637817446552,0.11380938572285176,1.266784829134454,-1.3141017949867926,2.572010516160091,-0.10052917088631763,0,0
1.1579862788749393,-0.0637656956149342,0.11380938572285176,0.9053316574042141,-0.3837354099403615,-0.3888008986421099,-0.10052917088631763,0,0
0.8909025623096917,1.5210893287896325,-0.614206492869086,0.6960692948235488,-1.3141017949867926,2.572010516160091,-0.10052917088631763,1,0
0.7382832957009784,1.0682736075311852,0.8418252643147895,0.6389977413924584,1.4769973601525006,-0.3888008986421099,-0.10052917088631763,0,1
1.3106055454836525,0.2758460953289018,0.11380938572285176,-0.33121866693608026,-0.3837354099403615,-0.3888008986421099,-0.10052917088631763,0,0
-1.8180894199949655,0.3890500256435138,2.297857021498665,2.0467627260260244,0.5466309751060695,-0.3888008986421099,-0.10052917088631763,0,1
